Task name,Assignee,Completed on,Due,Parent-task,Priority,Project,Status,Sub-tasks,Tags
Weekends at the Gal,Alex,,,,,Expand Role at the Gal: Weekend & karaoke (Expand%20Role%20at%20the%20Gal%20Weekend%20&%20karaoke%201f57c51f810e801b9c83cba1c1bd45f8.md),Archived,,
Write Up White Paper,,,,,,Expand Role at the Gal: Weekend & karaoke (Expand%20Role%20at%20the%20Gal%20Weekend%20&%20karaoke%201f57c51f810e801b9c83cba1c1bd45f8.md),In Progress,,
Check it over with everyone,,,,,,Expand Role at the Gal: Weekend & karaoke (Expand%20Role%20at%20the%20Gal%20Weekend%20&%20karaoke%201f57c51f810e801b9c83cba1c1bd45f8.md),Done,,
Make it happen,,,,,,Expand Role at the Gal: Weekend & karaoke (Expand%20Role%20at%20the%20Gal%20Weekend%20&%20karaoke%201f57c51f810e801b9c83cba1c1bd45f8.md),Not Started,,
