"","algae..10.6.cells.ml.","rotifers..animals.ml."
"292",0.39,21.67
"293",0.39,25.49
"294",0.36,20.87
"295",0.47,13.24
"296",1.16,19.47
"297",0.64,18.86
"298",0.25,41.74
"299",0.51,23.88
"300",0.41,37.73
"301",0.71,40.94
"302",0.61,26.69
"303",1.04,19.26
"304",0.54,31.3
"305",1.44,34.92
"306",0.47,23.68
"307",0.35,20.27
"308",0.45,17.86
"309",0.42,23.28
"310",0.78,36.92
"311",0.18,32.31
"312",0.64,24.68
"313",0.71,28.9
"314",0.33,38.93
"315",0.38,16.45
"316",0.89,23.28
"317",0.57,26.89
"318",0.13,25.69
"319",0.36,19.87
"320",0.36,36.52
"321",0.36,53.18
"322",0.27,77.26
"323",0.13,140.87
"324",0.15,86.09
"325",0.1,20.27
"326",0.6,15.65
"327",1.63,58.6
"328",1.54,99.93
"329",0.43,225.55
"330",0.46,56.79
"331",0.32,13.85
"332",0.58,9.03
"333",1.15,27.29
"334",1.91,48.56
"335",0.65,69.23
"336",0.53,46.35
"337",0.28,26.29
"338",0.27,11.64
"339",0.58,8.63
"340",0.91,15.25
"341",1.1,33.31
"342",0.67,34.31
"343",0.47,39.93
"344",0.47,20.07
"345",0.67,19.87
"346",1.26,44.35
"347",0.65,63.21
"348",0.37,41.54
"349",0.44,28.9
"350",0.43,18.66
"351",0.52,19.67
"352",0.66,10.64
"353",1.2,37.73
"354",0.44,36.52
"355",0.54,21.07
"356",0.77,30.3
"357",0.57,35.32
"358",0.31,20.27
"359",0.46,14.65
"360",0.77,21.07
"361",0.87,34.52
"362",0.49,38.73
"363",0.36,23.68
"364",0.65,13.44
"365",0.68,27.49
"366",0.79,36.52
