Task name,Assignee,Completed on,Due,Parent-task,Priority,Project,Status,Sub-tasks,Tags
Pay J Pua $30 for VAG,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Done,,
Text Josh and Brian aabout money,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Done,,
Pay back Harmon,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Done,,
Personal finance tracker,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Not Started,,
Cancel the jujizu until back from shambs,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Done,,
Taxes,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Not Started,,
Take $ out of my investing account,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Archived,,
Register for dental plan,Alex,,,,,Lotta Admin - Computer (Lotta%20Admin%20-%20Computer%202087c51f810e80e1a64dd93f93a1dc73.md),Not Started,,
