(Do Not Modify) Licence,(Do Not Modify) Modified On,(Do Not Modify) Row Checksum,Contact Email,Contact Phone Number,Establishment Address City,Establishment Address Postal Code,Establishment Address Street,Investigated / Applied Online,LG / IN,Licence Type,Licensee,Name,Notes,Website URL
38d2f19f-4573-eb11-b81b-005056832755,"April 24, 2025 6:50 PM (PDT)",b1GPzaCGdMa7lzjQnWDa2s2ZmCGctFh/ueHAWHuK8yNeqzV8z9flu7RIAI9CzrKSLgzBWrfGDCRhirRTXXHOCA==,,,Prince George,V2N4W5,1970 Ospika Blvd,No,Prince George,Liquor Primary,0795520 B.C. LTD.,OM Pizza Bar Cafe (181029),,
44d4f19f-4573-eb11-b81b-005056832755,"May 10, 2025 10:01 PM (PDT)",5d2GbijHoAVRkjpSi2+DPvy+7vKQFs247y+ubpuQ7InPdTufaBcqGPCsj5Ip0P+kX/pucK+VJ1knjjv4kHuIWw==,,,Prince George,V2M2K4,433 CARNEY ST,No,Prince George,Liquor Primary,BX NEIGHBOURHOOD PUB LTD.,BX PUB (127464),,
ba7dd2c1-9673-eb11-b81b-005056832174,"April 14, 2025 4:17 PM (PDT)",FrlOVoNjo4FqQqaxA+lEYiDI5wg4Fpxav/Io5Easg715ovl9rd8hFJP/i7JTeXyzB+O7KpK0L+zLxUZRF0TJ8g==,,,Prince George,V2L3M6,1116 6th Ave,No,Prince George,Liquor Primary,Royal Canadian Legion Branch No 43,"ROYAL CANADIAN LEGION, BRANCH NO.  43 (059431)",,
00d6f19f-4573-eb11-b81b-005056832755,"December 2, 2024 9:32 PM (PST)",iy9REj8SCfGuAU1uSlSuPJ/GvxAWcpYv1gzPjievMDYP+SKozzL9Zlh5ZA3EgUpKh/I2poHJx9By3RQVsWhjpw==,,,Prince George,V2N4Z9,3333 University Way,No,Prince George,Liquor Primary,University of Northern British Columbia,University Of Northern British Columbia (174451),,
f2cdf19f-4573-eb11-b81b-005056832755,"May 27, 2025 10:07 PM (PDT)",KJ27/QQ5H/+j9uf5sjXqBproqetnT8EDE3YrCYg8mZVk/dk88IzEXB2yntmCU/eWdgBKfSI+f6gST+b8rnL+qQ==,,,Prince George,V2N4R5,5787 Albert Place,No,Prince George,Liquor Primary,1509312 B.C. LTD.,The Dudley Sports Bar & Restaurant,,
6f4cdabb-9673-eb11-b81b-005056832174,"October 18, 2024 4:09 PM (PDT)",MFgD3lf8u4oQAkaed6xWKNfPgiaQwgXjeF2tGcBQthX+4InHW7zShLC2nUmyE4p/mFa8LjGNn9z4tBUF2BX0Mw==,,,PRINCE RUPERT,V8J1A2,Atlin Terminal C2 - 215 Cow Bay Rd.,No,Prince Rupert,Liquor Primary,West Coast Launch Holdings Ltd.,MV Inside Passage (303259),,
28c7f19f-4573-eb11-b81b-005056832755,"October 18, 2024 4:09 PM (PDT)",BM66Aj9J5qbLuB4gmMxfKmOl66BeOERsKF6rjlkfoFZVcb0q9lMzeWOXttQQmYvgZVLyHmx5zypESKTeXm8MZA==,,,PRINCE RUPERT,V8J2K8,2345 Seal Cove Rd,No,Prince Rupert,Liquor Primary,Prince Rupert Curling Club,Prince Rupert Curling Club (306214),,
84d0f19f-4573-eb11-b81b-005056832755,"March 18, 2025 7:00 PM (PDT)",waxO7F1DLNIToQPyhOdye5HmQbtXmsnozw1m0hW5/4qA2N6zJWfm4zL1iWQoE8T50zSnbCuAd0bUn4+1lx6iQA==,,,PRINCE RUPERT,V8J1A9,950 1st Ave W,No,Prince Rupert,Liquor Primary,PACIFIC OCEAN VIEW INN AND SUITES LTD.,Ocean View Hotel (300804),,
f8cef19f-4573-eb11-b81b-005056832755,"October 30, 2024 8:00 PM (PDT)",yS9sO9N9zWNd0szsNyO8jsFpRmocUJvuJC3qJbdJ2bZNpuhCJLpoiBdQfZYXfkRcVgjFt51906675CwQ8z7SnA==,,,PRINCE RUPERT,V8J3H2,1100 McBride St,No,Prince Rupert,Liquor Primary,PRINCE RUPERT PERFORMING ARTS CENTRE SOCIETY,Prince Rupert Performing Arts Centre (121284),,
947dd2c1-9673-eb11-b81b-005056832174,"April 16, 2025 5:48 PM (PDT)",rtb6U8m7kgbw00yA8EuvSoj+tQEmJxD93mKw5BGz676RhDtuKhbHGLSn10rEokK11dALqV+heMsRAYlAjMeHbw==,,,PRINCE RUPERT,V8J1A3,117 George Hills Way,No,Prince Rupert,Liquor Primary,Breaker's Pub Limited,Breaker's Pub  (108394),,
f0d2f19f-4573-eb11-b81b-005056832755,"February 11, 2025 8:45 PM (PST)",fo2XQIWfkstLjfpRaa5icfe3gXDUlgy5Q92SBaepDNajsKib1kXPwCU6FLkom1RaQT1OdVN74HRYHGl+vEBF3w==,,,PRINCE RUPERT,V8J2C5,200 5TH ST,No,Prince Rupert,Liquor Primary,1478836 B.C. LTD.,The Hub Bar  (053581),,
dba9c99e-ac73-eb11-b81b-005056832755,"March 11, 2025 7:00 PM (PDT)",llZtrozCrdH87Y0hL+WYPO6O838clQLiZ3Zf4efHhuKE3JsnCJvgVkgdWttivzftBjOOCaHVeFyLE2MOiZSfng==,,,PRINCE RUPERT,V8J1A8,222  1st Ave W,No,Prince Rupert,Liquor Primary,GITXAALA HOTEL GP LTD.,Crest Hotel (022836),,
84cdf19f-4573-eb11-b81b-005056832755,"October 18, 2024 4:09 PM (PDT)",GRFOqlFQXxNgCy3S2yqLDt3dJAjnMNd5y5E8nmLscJ/fOGhVmhlmDDZypIOjCG56/tHXE1uIJru+Dzuo6uM8mw==,,,PRINCE RUPERT,V8J2G4,2209 Seal Cove Rd,No,Prince Rupert,Liquor Primary,West Coast Launch Holdings Ltd.,Arabisk Mediterranean Cuisine,,
3ecff19f-4573-eb11-b81b-005056832755,"May 28, 2025 1:39 AM (PDT)",FrQgABBHuFxEtHirpbIdiTe+jQ5ryUk2ptMSA6F8DYOoe1btQ9RJWf8YmoYvmAEYlzz9h/W0WLGPUMp5VbdCog==,,,QUALICUM BEACH,V9K1G8,2690 Island Highway West,No,Qualicum Beach,Liquor Primary,COPPER HOSPITALITY INC.,Qualicum Beach Cafe,,
0cccf19f-4573-eb11-b81b-005056832755,"May 1, 2025 12:37 AM (PDT)",eMVHVLG3FpLVVIdZtYoIimMTL2bkNXzGctfYkvxmgzdTGn7ZhvVRXb79NYlude8SyqZQfgyLF+wx72x/fJL6uw==,,,PRINCETON,V0X1W0,,No,Princeton,Liquor Primary,0836563 B.C. LTD.,Brown Bridge Pub (026040),,
